id	photo	name	party	election	district_block	career	json	ui	reviewer	result	notes
hr-0001	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0002	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0003	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0004	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0005	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0006	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0007	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0008	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0009	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0010	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0011	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0012	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0013	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0014	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0015	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0016	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0017	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0018	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0019	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
hr-0020	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目と写真を反映。UI通し確認完了。
